timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1788733201287,195,S01_Browse_And_Checkout_T01_OpenApplication,200,"Number of samples in transaction : 1, number of failing samples : 0",S01_Browse_And_Checkout 1-3,,true,,53066,598,5,5,null,0,5,0
1788733201290,195,OpenApplication,200,OK,S01_Browse_And_Checkout 1-3,text,true,,53066,598,5,5,http://localhost/,186,0,0
1788733202905,142,S01_Browse_And_Checkout_T08_OpenCart,200,"Number of samples in transaction : 1, number of failing samples : 0",S01_Browse_And_Checkout 1-4,,true,,38280,788,5,5,null,0,1,0
1788733202905,142,OpenCart,200,OK,S01_Browse_And_Checkout 1-4,text,true,,38280,788,5,5,http://localhost/cart,141,0,0
1788733202885,185,S01_Browse_And_Checkout_T02_NavigateToTables,200,"Number of samples in transaction : 1, number of failing samples : 0",S01_Browse_And_Checkout 1-2,,true,,50851,763,5,5,null,0,2,0
1788733202886,185,NavigateToTables,200,OK,S01_Browse_And_Checkout 1-2,text,true,,50851,763,5,5,http://localhost/tables,183,0,0
1788733203487,161,S01_Browse_And_Checkout_T02_NavigateToTables,200,"Number of samples in transaction : 1, number of failing samples : 0",S01_Browse_And_Checkout 1-3,,true,,50851,763,5,5,null,0,1,0
1788733203488,161,NavigateToTables,200,OK,S01_Browse_And_Checkout 1-3,text,true,,50851,763,5,5,http://localhost/tables,159,0,0
1788733204209,244,S01_Browse_And_Checkout_T09_OpenCheckout,200,"Number of samples in transaction : 2, number of failing samples : 0",S01_Browse_And_Checkout 1-1,,true,,131566,1785,5,5,null,0,7,0
1788733204212,122,OpenCheckout,200,OK,S01_Browse_And_Checkout 1-1,text,true,,65783,769,5,5,http://localhost/checkout,121,0,0
1788733204338,122,ProceedToCheckout,200,OK,S01_Browse_And_Checkout 1-1,text,true,,65783,1016,5,5,http://localhost/checkout,120,0,0
1788733205022,150,S01_Browse_And_Checkout_T05_NavigateToChairs,200,"Number of samples in transaction : 1, number of failing samples : 0",S01_Browse_And_Checkout 1-5,,true,,46976,790,5,5,null,0,1,0
1788733205023,150,NavigateToChairs,200,OK,S01_Browse_And_Checkout 1-5,text,true,,46976,790,5,5,http://localhost/chairs,148,0,0
1788733206331,189,S01_Browse_And_Checkout_T03_OpenTableProductCard,200,"Number of samples in transaction : 1, number of failing samples : 0",S01_Browse_And_Checkout 1-2,,true,,47304,786,5,5,null,0,3,0
1788733206332,189,OpenTableProductCard,200,OK,S01_Browse_And_Checkout 1-2,text,true,,47304,786,5,5,http://localhost/products/kitchen-table7,138,0,0
1788733207677,303,S01_Browse_And_Checkout_T09_OpenCheckout,200,"Number of samples in transaction : 2, number of failing samples : 0",S01_Browse_And_Checkout 1-4,,true,,131300,1787,5,5,null,0,5,0
1788733207679,121,OpenCheckout,200,OK,S01_Browse_And_Checkout 1-4,text,true,,65496,769,5,5,http://localhost/checkout,118,0,0
1788733207803,182,ProceedToCheckout,200,OK,S01_Browse_And_Checkout 1-4,text,true,,65804,1018,5,5,http://localhost/checkout,123,0,0
1788733208113,157,S01_Browse_And_Checkout_T03_OpenTableProductCard,200,"Number of samples in transaction : 1, number of failing samples : 0",S01_Browse_And_Checkout 1-3,,true,,47060,786,5,5,null,0,3,0
1788733208114,157,OpenTableProductCard,200,OK,S01_Browse_And_Checkout 1-3,text,true,,47060,786,5,5,http://localhost/products/kitchen-table3,150,0,0
1788733209385,69,S01_Browse_And_Checkout_T10_FillCheckoutFields,200,"Number of samples in transaction : 1, number of failing samples : 0",S01_Browse_And_Checkout 1-1,,true,,612,959,5,5,null,0,1,0
1788733209386,69,FillCheckoutFields,200,OK,S01_Browse_And_Checkout 1-1,text,true,,612,959,5,5,http://localhost/wp-admin/admin-ajax.php,69,0,0
1788733209398,154,S01_Browse_And_Checkout_T06_OpenChairProductCard,200,"Number of samples in transaction : 1, number of failing samples : 0",S01_Browse_And_Checkout 1-5,,true,,47122,786,5,5,null,0,2,0
1788733209398,154,OpenChairProductCard,200,OK,S01_Browse_And_Checkout 1-5,text,true,,47122,786,5,5,http://localhost/products/ancient-chair5,153,0,0
1788733209601,115,S01_Browse_And_Checkout_T04_AddTableToCart,200,"Number of samples in transaction : 1, number of failing samples : 0",S01_Browse_And_Checkout 1-2,,true,,778,1052,5,5,null,0,3,0
